"HTS-4","COMMODITIES"
"8443","PRINTING MACHINERY (INCLUDING INK-JET PRINTING MACHINES, EXCEPT THOSE OF 8471); MACHINES FOR USES ANCILLARY TO PRINTING; PARTS THEREOF"
"2827","CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES"
"1109","WHEAT GLUTEN, WHETHER OR NOT DRIED"
"8308","CLASPS, BUCKLES, HOOKS, EYES, EYELETS ETC. USED FOR CLOTHING ETC.; SPECIFIED RIVETS; BEADS OR SPANGLES; THE FOREGOING AND PARTS THEREOF, OF BASE METAL"
"2903","HALOGENATED DERIVATIVES OF HYDROCARBONS"
"8204","HAND-OPERATED SPANNERS AND WRENCHES, INCLUDING TORQUE METER WRENCHES (NOT TAP WRENCHES); SOCKET WRENCHES, WITH HANDLES ETC. OR NOT; BASE METAL PARTS"
"1604","PREPARED OR PRESERVED FISH; CAVIAR AND CAVIAR SUBSTITUTES PREPARED FROM FISH EGGS"
"2914","KETONES AND QUINONES, AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES"
"3209","PAINTS AND VARNISHES BASED ON SYNTHETIC POLYMERS OR CHEMICALLY MODIFIED NATURAL POLYMERS IN AN AQUEOUS MEDIUM"
"7115","ARTICLES OF PRECIOUS METAL OR OF METAL CLAD WITH PRECIOUS METAL NESOI"
"3918","FLOOR COVERINGS, IN ROLLS OR TILES, OF PLASTICS; WALL OR CEILING COVERINGS, IN ROLLS NOT UNDER 45 CM (18 IN.) IN WIDTH, OF PLASTICS"
"5207","COTTON YARN (OTHER THAN SEWING THREAD) PUT UP FOR RETAIL SALE"
"2306","OILCAKE AND OTHER SOLID RESIDUES (IN PELLETS OR NOT), RESULTING FROM THE EXTRACTION OF VEGETABLE FATS OR OILS (EXCEPT FROM SOYBEANS OR PEANUTS), NESOI"
"7406","COPPER POWDERS AND FLAKES"
"6901","BRICKS, BLOCKS, TILES AND OTHER CERAMIC GOODS OF SILICEOUS FOSSIL MEALS (INCLUDING KIESELGUHR, TRIPOLITE OR DIATOMITE) OR SIMILAR SILICEOUS EARTHS"
"7106","SILVER (INCLUDING SILVER PLATED WITH GOLD OR PLATINUM), UNWROUGHT OR IN SEMIMANUFACTURED FORMS, OR IN POWDER FORM"
"8506","PRIMARY CELLS AND PRIMARY BATTERIES; PARTS THEREOF"
"5701","CARPETS AND OTHER TEXTILE FLOOR COVERINGS, KNOTTED, WHETHER OR NOT MADE-UP"
"8467","TOOLS FOR WORKING IN THE HAND, PNEUMATIC, HYDRAULIC OR WITH SELF-CONTAINED ELECTRIC OR NONELECTRIC MOTOR, AND PARTS THEREOF"
"3606","FERROCERIUM AND OTHER PYROPHORIC ALLOYS IN ALL FORMS; ARTICLES OF SPECIFIED COMBUSTIBLE MATERIALS"
"3809","FINISHING AGENTS, DYE CARRIERS AND OTHER PREPARATIONS (DRESSINGS, MORDANTS ETC.) USED IN THE TEXTILE, PAPER, LEATHER OR LIKE INDUSTRIES, NESOI"
"8422","MACHINES, FOR DISHWASHING, FOR CLEANING, DRYING, FILLING, CLOSING ETC. CONTAINERS, FOR OTHER PACKING ETC., AND FOR AERATING BEVERAGES; PARTS THEREOF"
"6902","REFRACTORY BRICKS, BLOCKS AND SIMILAR REFRACTORY CERAMIC CONSTRUCTIONAL GOODS, EXCEPT THOSE OF SILICEOUS FOSSIL MEALS OR SIMILAR SILICEOUS EARTHS"
"8537","BOARDS, PANELS ETC. WITH TWO OR MORE APPAR FOR SWITCHING ETC. ELEC CIRCUITS (HEADING 8535, 8536) OR OPTICAL ETC. INSTRUMENT OF CHAPTER 90; N/C APPAR"
"4303","ARTICLES OF APPAREL, CLOTHING ACCESSORIES AND OTHER ARTICLES OF FURSKIN"
"6808","PANELS, TILES, BLOCKS AND SIMILAR ARTICLES OF VEGETABLE FIBER, CHIPS OR OTHER WASTE, OF WOOD, AGGLOMERATED WITH CEMENT OR OTHER MINERAL BINDERS"
"6006","KNITTED OR CROCHETED FABRICS, NESOI"
"7310","TANKS, CASKS, VATS AND SIMILAR CONTAINERS NESOI, OF A CAPACITY OF NOT OVER 300 LITERS (79.25 GAL.), OF IRON OR STEEL"
"5804","TULLES AND OTHER NET FABRICS, NOT INCLUDING WOVEN, KNITTED OR CROCHETED FABRICS; LACE IN THE PIECE, IN STRIPS OR MOTIFS, EXCEPT FABRICS OF 6002"
"1003","BARLEY"
"2926","NITRILE-FUNCTION COMPOUNDS"
"9404","MATTRESS SUPPORTS; ARTICLES OF BEDDING AND SIMILAR FURNISHINGS WITH SPRINGS OR STUFFED OR INTERNALLY FITTED WITH MATERIAL OR OF RUBBER OR PLASTICS"
"3912","CELLULOSE AND ITS CHEMICAL DERIVATIVES NESOI, IN PRIMARY FORMS"
"3306","PREPARATIONS FOR ORAL OR DENTAL HYGIENE, INCLUDING DENTURE FIXATIVE PASTES AND POWDERS; DENTAL FLOSS YARN"
"8414","AIR OR VACUUM PUMPS, AIR OR OTHER GAS COMPRESSORS AND FANS; VENTILATING OR RECYCLING HOODS INCORPORATING A FAN, WITH OR WITHOUT FILTERS; PARTS THEREOF"
"7503","NICKEL WASTE AND SCRAP"
"4808","PAPER AND PAPERBOARD, CORRUGATED, CREPED, CRINKLED, EMBOSSED OR PERFORATED, NESOI, IN ROLLS OR SHEETS"
"9002","OPTICAL ELEMENTS (INCLUDING LENSES, PRISMS AND MIRRORS), MOUNTED, EXCLUDING ELEMENTS OF GLASS NOT OPTICALLY WORKED; PARTS AND ACCESSORIES THEREOF"
"3104","MINERAL OR CHEMICAL FERTILIZERS, POTASSIC"
"5209","WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE COTTON BY WEIGHT, WEIGHING MORE THAN 200 G/M2"
"1107","MALT, WHETHER OR NOT ROASTED"
"7907","ARTICLES OF ZINC, NESOI"
"1505","WOOL GREASE AND FATTY SUBSTANCES DERIVED THEREFROM, INCLUDING LANOLIN"
"0808","APPLES, PEARS AND QUINCES, FRESH"
"2842","SALTS OF INORGANIC ACIDS OR PEROXOACIDS, EXCLUDING AZIDES, NESOI"
"2526","NATURAL STEATITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT INTO BLOCKS OR SLABS OF RECTANGULAR OR SQUARE SHAPE; TALC"
"2810","OXIDES OF BORON; BORIC ACIDS"
"4205","ARTICLES OF LEATHER OR COMPOSITION LEATHER, NESOI"
"2715","BITUMINOUS MIXTURES BASED ON NATURAL ASPHALT, NATURAL BITUMEN, PETROLEUM BITUMEN, MINERAL TAR OR MINERAL TAR PITCH"
"7114","ARTICLES OF GOLDSMITHS' OR SILVERSMITHS' WARES AND PARTS THEREOF, OF PRECIOUS METAL OR METAL CLAD WITH PRECIOUS METAL"
"0505","BIRD SKINS AND OTHER FEATHERED PARTS OF BIRDS, FEATHERS AND PARTS OF FEATHERS AND DOWN, NOT FURTHER WORKED THAN CLEANED ETC."
"3507","ENZYMES; PREPARED ENZYMES NESOI"
"0507","IVORY, TORTOISE-SHELL, WHALEBONE AND WHALEBONE HAIR, HORNS, HOOVES, CLAWS ETC., UNWORKED OR SIMPLY PREPARED, NOT CUT TO SHAPE"
"9106","TIME OF DAY RECORDING APPARATUS AND APPARATUS FOR MEASURING, RECORDING OR INDICATING INTERVALS OF TIME, WITH CLOCK ETC. MOVEMENT OR SYNCHRONOUS MOTOR"
"7312","STRANDED WIRE, ROPES AND CABLES, PLAITED BANDS ETC., NOT ELECTRICALLY INSULATED, OF IRON OR STEEL"
"5911","TEXTILE PRODUCTS AND ARTICLES FOR SPECIFIED TECHNICAL USES, NESOI"
"3704","PHOTOGRAPHIC PLATES, FILM, PAPER, PAPERBOARD AND TEXTILES, EXPOSED BUT NOT DEVELOPED"
"1905","BREAD, PASTRY, CAKES, BISUITS AND OTHER BAKERS' WARES; COMMUNION WAFERS, EMPTY CAPSULES FOR MEDICINE ETC., SEALING WAFERS, RICE PAPER ETC."
"0806","GRAPES, FRESH OR DRIED"
"3804","RESIDUAL LYES FROM THE MANUFACTURE OF WOOD PULP, WHETHER OR NOT CONCENTRATED, DESUGARED ETC., INCLUDING LIGNIN SULFONATES, BUT EXCLUDING TALL OIL"
"5405","ARTIFICIAL MONOFILAMENT OF 67 DECITEX OR MORE, WITH NO CROSS-SECTIONAL DIMENSION OVER 1 MM; STRIP ETC. OF ARTIFICIAL TEXTILE NOT OVER 5 MM IN WIDTH"
"0712","VEGETABLES, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED"
"8301","PADLOCKS AND LOCKS, INCLUDING CLASPS AND FRAMES WITH CLASPS, INCORPORATING LOCKS, OF BASE METAL; KEYS AND PARTS OF THE FOREGOING, OF BASE METAL"
"2852","MERCURY COMPOUNDS, INORGANIC OR ORGANIC, WHETHER OR NOT CHEMICALLY DEFINED, EXCLUDING AMALGAMS"
"2822","COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES"
"3810","PICKLING PREPARATIONS FOR METAL SURFACES; SOLDERING, BRAZING OR WELDING FLUXES, POWDERS AND PASTES ETC.; CORES OR COATINGS FOR WELDING ELECTRODES ETC."
"8103","TANTALUM AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP"
"2704","COKE AND SEMICOKE OF COAL, OF LIGNITE OR OF PEAT, WHETHER OR NOT AGGLOMERATED; RETORT CARBON"
"3103","MINERAL OR CHEMICAL FERTILIZERS, PHOSPHATIC"
"2708","PITCH AND PITCH COKE, OBTAINED FROM COAL TAR OR FROM OTHER MINERAL TARS"
"5308","YARN OF VEGETABLE TEXTILE FIBERS NESOI; PAPER YARN"
"2845","STABLE (NONRADIOACTIVE) ISOTOPES; COMPOUNDS, INORGANIC OR ORGANIC, OF SUCH ISOTOPES, WHETHER OR NOT CHEMICALLY DEFINED"
"5808","BRAIDS IN THE PIECE; ORNAMENTAL TRIMMINGS IN THE PIECE, WITHOUT EMBROIDERY, OTHER THAN KNITTED OR CROCHETED; TASSELS, POMPONS AND SIMILAR ARTICLES"
"8426","SHIP'S DERRICKS; CRANES; MOBILE LIFTING FRAMES, STRADDLE CARRIERS AND WORKS TRUCKS FITTED WITH A CRANE"
"2515","MARBLE, TRAVERTINE AND OTHER CALCAREOUS BUILDING ETC. STONE OF AN APPARENT SPECIFIC GRAVITY OF 2.5 OR MORE, AND ALABASTER ROUGHLY SHAPED ETC. OR CUT"
"2804","HYDROGEN, RARE GASES AND OTHER NONMETALS"
"8712","BICYCLES AND OTHER CYCLES (INCLUDING DELIVERY TRICYCLES), NOT MOTORIZED"
"8113","CERMETS AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP"
"4402","WOOD CHARCOAL (INCLUDING SHELL OR NUT CHARCOAL), WHETHER OR NOT AGGLOMERATED"
"2529","FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; FLUORSPAR"
"4415","PACKING CASES, CRATES, DRUMS AND SIMILAR PACKINGS OF WOOD; CABLE-DRUMS OF WOOD; PALLETS AND OTHER LOAD BOARDS OF WOOD; PALLET COLLARS OF WOOD"
"2509","CHALK"
"2103","SAUCES AND PREPARATIONS THEREFOR; MIXED CONDIMENTS AND MIXED SEASONINGS; MUSTARD FLOUR AND MEAL AND PREPARED MUSTARD"
"8203","FILES, RASPS, PLIERS, PINCERS, METALCUTTING SHEARS, PIPE CUTTERS, BOLT CUTTERS AND SIMILAR HAND TOOLS, AND BASE METAL PARTS THEREOF"
"2714","BITUMEN AND ASPHALT, NATURAL; BITUMINOUS OR OIL SHALE AND TAR SANDS; ASPHALTITES AND ASPHALTIC ROCKS"
"2921","AMINE-FUNCTION COMPOUNDS"
"8424","MECHANICAL APPLIANCES FOR DISPERSING LIQUID OR POWDER; FIRE EXTINGUISHERS; SPRAY GUNS ETC.; STEAM OR SAND BLASTING AND SIMILAR MACHINES; PARTS THEREOF"
"4812","FILTER BLOCKS, SLABS AND PLATES, OF PAPER PULP"
"0706","CARROTS, TURNIPS, SALAD BEETS, SALSIFY, RADISHES AND SIMILAR EDIBLE ROOTS, FRESH OR CHILLED"
"8511","ELECTRICAL IGNITION OR STARTING EQUIPMENT USED FOR SPARK-IGNITION OR COMPRESSION-IGNITION INTERNAL COMBUSTION ENGINES; GENERATORS ETC. THEREFOR; PARTS"
"4017","HARD RUBBER (FOR EXAMPLE, EBONITE) IN ALL FORMS, INCLUDING WASTE AND SCRAP; ARTICLES OF HARD RUBBER"
"8208","KNIVES AND CUTTING BLADES, FOR MACHINES OR MECHANICAL APPLIANCES, AND BASE METAL PARTS THEREOF"
"2501","SALT (INCL TABLE & DENATURD SALT) & PURE SODIUM CHLORIDE, WHETH/NOT IN AQUEOUS SOLUTION OR CONTAIN ADDED ANTICAKING/FREE FLOWING AGENTS; SEA WATER"
"8525","TRANSMISSION APPARATUS FOR RADIOTELEPHONY, RADIOTELEGRAPHY, RADIOBROADCASTING OR TV; TV CAMERAS; STILL IMAGE VIDEO CAMERAS AND RECRDRS;DIGITAL CAMERAS"
"7316","ANCHORS, GRAPNELS AND PARTS THEREOF, OF IRON OR STEEL"
"7011","GLASS ENVELOPES (INCLUDING BULBS AND TUBES), OPEN, AND GLASS PARTS THEREOF, WITHOUT FITTINGS, FOR ELECTRIC LAMPS, CATHODE-RAY TUBES OR THE LIKE"
"2829","CHLORATES AND PERCHLORATES; BROMATES AND PERBROMATES; IODATES AND PERIODATES"
"0405","BUTTER AND OTHER FATS AND OILS DERIVED FROM MILK"
"4015","ARTICLES OF APPAREL AND CLOTHING ACCESSORIES (INCLUDING GLOVES, MITTENS AND MITTS), FOR ALL PURPOSES, OF UNHARDENED VULCANIZED RUBBER"
"2808","NITRIC ACID, SULFONITRIC ACIDS"
"3825","RESIDUAL PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES, NESOI; MUNICIPAL WASTE; SEWAGE SLUDGE; OTHER WASTE SPECIFIED IN NOTE 6 TO THIS CHAPTER"
"8533","ELECTRICAL RESISTORS (INCLUDING RHEOSTATS AND POTENTIOMETERS), OTHER THAN HEATING RESISTORS; PARTS THEREOF"
"7613","ALUMINUM CONTAINERS FOR COMPRESSED OR LIQUEFID GAS"
"7202","FERROALLOYS"
"7415","NAILS, TACKS, DRAWING PINS, STAPLES (EXCEPT THOSE FOR OFFICE ETC.) AND SIMILAR ARTICLES OF COPPER OR WITH COPPER HEADS; SCREWS, BOLTS ETC. OF COPPER"
"5905","TEXTILE WALL COVERINGS"
"1102","CEREAL FLOURS OTHER THAN OF WHEAT OR MESLIN"
"7102","DIAMONDS, WHETHER OR NOT WORKED, BUT NOT MOUNTED OR SET"
"8432","AGRICULTURAL, HORTICULTURAL OR FORESTRY MACHINERY FOR SOIL PREPARATION OR CULTIVATION; LAWN OR SPORTS GROUND ROLLERS; PARTS THEREOF"
"7204","FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL"
"8418","REFRIGERATORS, FREEZERS AND OTHER REFRIGERATING OR FREEZING EQUIPMENT, ELECTRIC OR OTHER; HEAT PUMPS NESOI, PARTS THEREOF"
"3926","ARTICLES OF PLASTICS AND ARTICLES OF POLYMERS AND RESINS OF HEADINGS 3901 TO 3914, NESOI"
"2816","HYDROXIDE AND PEROXIDE OF MAGNESIUM; OXIDES, HYDROXIDES AND PEROXIDES OF STRONTIUM OR BARIUM"
"1605","CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES, PREPARED OR PRESERVED"
"5515","WOVEN FABRICS OF SYNTHETIC STAPLE FIBERS (CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBERS, MIXED MAINLY WITH MATERIALS OTHER THAN COTTON) NESOI"
"2511","NATURAL BARIUM SULFATE (BARYTES); NATURAL BARIUM CARBONATE (WITHERITE), WHETHER OR NOT CALCINED (OTHER THAN BARIUM OXIDE OF HEADING 2816)"
"0302","FISH, FRESH OR CHILLED, EXCLUDING FISH FILLETS AND OTHER FISH MEAT WITHOUT BONES; FISH LIVERS AND ROES, FRESH OR CHILLED"
"8407","SPARK-IGNITION RECIPROCATING OR ROTARY INTERNAL COMBUSTION PISTON ENGINES"
"8468","MACHINERY AND APPARATUS FOR SOLDERING, BRAZING OR WELDING, NONELECTRIC; GAS-OPERATED SURFACE TEMPERING MACHINES AND APPLIANCES; PARTS THEREOF"
"4803","TOILET, FACIAL TISSUE, TOWEL OR NAPKIN STOCK AND SIMILAR PAPER, CELLULOSE FIBER WADDING AND WEBS, IN ROLLS OR SHEETS OVER"
"5307","YARN OF JUTE OR OTHER TEXTILE BAST FIBERS NESOI (EXCLUDING FLAX, TRUE HEMP AND RAMIE)"
"7108","GOLD (INCLUDING GOLD PLATED WITH PLATINUM), UNWROUGHT OR IN SEMIMANUFACTURED FORMS, OR IN POWDER FORM"
"7318","SCREWS, BOLTS, NUTS, COACH SCREWS, SCREW HOOKS, RIVETS, COTTERS, COTTER PINS, WASHERS AND SIMILAR ARTICLES, OF IRON OR STEEL"
"8483","TRANSMISSION SHAFTS AND CRANKS; BEARING HOUSINGS, HOUSED BEARINGS ETC.; GEARS AND GEARING; BALL & ROLLER SCREWS; CLUTCHES, ETC.; AND PARTS"
"3815","REACTION INITIATORS, REACTION ACCELERATORS AND CATALYTIC PREPARATIONS NESOI"
"3304","BEAUTY OR MAKE-UP AND SKIN-CARE PREPARATIONS (OTHER THAN MEDICAMENTS), INCLUDING SUNSCREENS ETC.; MANICURE OR PEDICURE PREPARATIONS"
"2517","PEBBLES, GRAVEL ETC. USED FOR CONCRETE AGGREGATES ETC.; MACADAM OF SLAG, DROSS ETC.; GRANULES, CHIPPINGS AND POWDER OF MARBLE, ALABASTER, GRANITE ETC."
"9606","BUTTONS, PRESS-FASTENERS, SNAP-FASTENERS AND PRESS STUDS, BUTTON MOLDS AND OTHER PARTS OF THESE ARTICLES; BUTTON BLANKS"
"6002","KNITTED OR CROCHETED FABRICS, NESOI"
"2522","QUICKLIME, SLAKED LIME AND HYDRAULIC LIME, OTHER THAN CALCIUM OXIDE AND HYDROXIDE OF HEADING 2825"
"5501","SYNTHETIC FILAMENT TOW"
"8428","LIFTING, HANDLING, LOADING OR UNLOADING MACHINERY (INCLUDING ELEVATORS, ESCALATORS AND CONVEYORS)"
"4113","LEATHER FURTHER PREPED AFTER TANNING/CRUSTING, INCLUDING PARCHEMENT-DRESSED LEATHER, OF OTHER ANIMALS, W/O WOOL/ HAIR ON, WHETHER/ NT SPLIT,NT HD 4114"
"9008","IMAGE PROJECTORS, PHOTOGRAPHIC ENLARGERS AND REDUCERS, OTHER THAN CINEMATOGRAPHIC; PARTS AND ACCESSORIES THEREOF"
"5609","ARTICLES OF YARN, STRIP OR THE LIKE OF SPECIFIED DIMENSIONS (HEADING 5404 AND 5405), TWINE, CORDAGE, ROPE OR CABLES, NESOI"
"2840","BORATES; PEROXOBORATES (PERBORATES)"
"1005","CORN (MAIZE)"
"2206","FERMENTED BEVERAGES, NESOI (INCLUD CIDER, PERRY & MEAD); MIXTURES OF FERMENTED BEVERAGES & MIXTURES OF FERMNTD BEVERAGES & NON-ALCOHOL BEVERAGES NESOI"
"7111","BASE METALS, SILVER OR GOLD, CLAD WITH PLATINUM, NOT FURTHER WORKED THAN SEMIMANUFACTURED"
"2927","DIAZO-, AZO-, OR AZOXY-COMPOUNDS"
"8903","YACHTS AND OTHER VESSELS FOR PLEASURE OR SPORTS; ROW BOATS AND CANOES"
"0709","VEGETABLES NESOI, FRESH OR CHILLED"
"3925","BUILDERS' WARE OF PLASTICS, NESOI"
"7205","GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL"
"5211","WOVEN FABRICS OF COTTON, CONTAINING LESS THAN 85% COTTON BY WEIGHT, MIXED MAINLY OR SOLELY WITH MANMADE FIBERS, WEIGHING MORE THAN 200 G/M2"
"9702","ORIGINAL ENGRAVINGS, PRINTS AND LITHOGRAPHS, FRAMED OR NOT FRAMED"
"4403","WOOD IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED"
"8310","SIGN PLATES, NAME PLATES, ADDRESS PLATES AND SIMILAR PLATES, NUMBERS, LETTERS AND OTHER SYMBOLS (NOT ILLUMINATED), AND PARTS THEREOF, OF BASE METAL"
"9406","PREFABRICATED BUILDINGS"
"5002","RAW SILK (NOT THROWN)"
"2523","PORTLAND CEMENT, ALUMINOUS CEMENT, SLAG CEMENT, SUPERSULFATE CEMENT AND SIMILAR HYDRAULIC CEMENTS"
"8416","FURNACE BURNERS FOR LIQUID FUEL, PULVERIZED SOLID FUEL OR GAS; MECHANICAL STOKERS, GRATES, ASH DISCHARGERS AND SIMILAR APPLIANCES; PARTS THEREOF"
"8106","BISMUTH AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP"
"3826","BIODIESEL AND MIXTURES THEREOF, NOT CONTAINING OR CONTAINING LESS THAN 70% BY WEIGHT OF PETROLEUM OILS OR OILS OBTAINED FROM BITUMINOUS MINERALS"
"3401","SOAP; ORGANIC SURFACE-ACTIVE PRODUCTS FOR USE AS SOAP, IN BARS, CAKES ETC.; PAPER, WADDING, FELT ETC., IMPREGNATED OR COATED WITH SOAP OR DETERGENT"
"4410","PARTICLE BOARD AND SIMILAR BOARD OF WOOD OR OTHER LIGNEOUS MATERIALS"
"9031","MEASURING OR CHECKING INSTRUMENTS, APPLIANCES AND MACHINES, NESOI; PROFILE PROJECTORS; PARTS AND ACCESSORIES THEREOF"
"0809","APRICOTS, CHERRIES, PEACHES (INCLUDING NECTARINES), PLUMS (INCLUDING PRUNE PLUMS) AND SLOES, FRESH"
"0803","BANANAS, INCLUDING PLANTAINS, FRESH OR DRIED"
"1701","CANE OR BEET SUGAR AND CHEMICALLY PURE SUCROSE, IN SOLID FORM"
"7303","TUBES, PIPES AND HOLLOW PROFILES OF CAST IRON"
"8007","ARTICLES OF TIN, NESOI"
"2813","SULFIDES OF NONMETALS; COMMERCIAL PHOSPHORUS TRISULFIDE"
"3102","MINERAL OR CHEMICAL FERTILIZERS, NITROGENOUS"
"2614","TITANIUM ORES AND CONCENTRATES"
"1704","SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA"
"1204","FLAXSEED (LINSEED), WHETHER OR NOT BROKEN"
"7110","PLATIMUN, UNWROUGHT OR IN SEMIMANUFACTURED FORMS, OR IN POWDER FORM"
"7307","TUBE OR PIPE FITTINGS (INCLUDING COUPLINGS, ELBOWS AND SLEEVES), OF IRON OR STEEL"
"4010","CONVEYOR OR TRANSMISSION BELTS OR BELTING, OF VULCANIZED RUBBER"
"5604","RUBBER THREAD AND CORD, TEXTILE COVERED; TEXTILE YARN AND STRIP ETC. OF MANMADE MATERIALS OF SPECIFIC DIMENSIONS, COATED ETC. WITH RUBBER OR PLASTICS"
"9026","INSTRUMENTS AND APPARATUS FOR MEASURING OR CHECKING THE FLOW, LEVEL, PRESSURE OR OTHER VARIABLES OF LIQUIDS OR GASES, NESOI; PARTS AND ACCESSORIES"
"8482","BALL OR ROLLER BEARINGS, AND PARTS THEREOF"
"9705","COLLECTIONS AND COLLECTORS' PIECES OF ZOOLOGICAL, BOTANICAL, MINERALOGICAL, HISTORICAL, ARCHAELOGICAL, NUMISMATIC OR OTHER INTEREST"
"7324","SANITARY WARE AND PARTS THEREOF, OF IRON OR STEEL"
"1206","SUNFLOWER SEEDS, WHETHER OR NOT BROKEN"
"6812","FABRICATED ASBESTOS FIBERS; SPECIFIED MIXTURES CONTAINING ASBESTOS; ARTICLES OF SUCH MIXTURES OR OF ASBESTOS (THREAD, FABRICS, CLOTHING ETC.), NESOI"
"8466","PARTS AND ACCESSORIES FOR USE WITH MACHINE TOOLS OF HEADINGS 8456 TO 8465, INCLUDING WORK OR TOOL HOLDERS AND OTHER SPECIAL ATTACHMENTS"
"7506","NICKLE PLATES, SHEETS, STRIP AND FOIL"
"6807","ARTICLES OF ASPHALT OR OF SIMILAR MATERIAL (FOR EXAMPLE, PETROLEUM BITUMEN OR COAL TAR PITCH)"
"0703","ONIONS, SHALLOTS, GARLIC, LEEKS AND OTHER ALLIACEOUS VEGETABLES, FRESH OR CHILLED"
"8528","TELEVISION RECEIVERS, INCLUDING VIDEO MONITORS AND VIDEO PROJECTORS"
"5407","WOVEN FABRICS OF SYNTHETIC FILAMENT YARN, INCLUDING THOSE OF MONOFILAMENTS 67 DECITEX OR MORE, NOT OVER 1 MM CROSS-SECTION AND OF STRIP NOT OVER 5 MM"
"2201","WATERS, INCLUDING NATURAL OR ARTIFICIAL MINERAL WATERS AND AERATED WATERS, NOT CONTAINING ADDED SWEETENING NOR FLAVORED; ICE AND SNOW"
"6701","SKINS AND OTHER PARTS OF BIRDS WITH THEIR FEATHERS OR DOWN, BLEACHED, DYED OR PROCESSED AND ARTICLES OF FEATHERS OR DOWN NESOI"
"7006","GLASS (CAST, ROLLED, DRAWN, BLOWN OR FLOAT, SURFACE GROUND, ETC.) BENT, EDGE-WORKED, ENGRAVED, ENAMELED OR OTHERWISE WORKED, NOT FRAMED OR FITTED"
"5305","COCONUT, ABACA (MANILLA HEMP), RAMIE AND VEGETABLE TEXTILE FIBERS NESOI, RAW ETC. BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBERS"
"5602","FELT, WHETHER OR NOT IMPREGNATED, COATED, COVERED OR LAMINATED"
"5210","WOVEN FABRICS OF COTTON, CONTAINING LESS THAN 85% COTTON BY WEIGHT, MIXED MAINLY OR SOLELY WITH MANMADE FIBERS, WEIGHING NOT MORE THAN 200 G/M2"
"2812","HALIDES AND HALIDE OXIDES OF NONMETALS"
"9025","HYDROMETERS, THERMOMETERS, PYROMETERS, BAROMETERS, HYGROMETERS AND PSYCHROMETERS ETC.; PARTS AND ACCESSORIES THEREOF"
"5408","WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING THOSE OF MONOFILAMENTS 67 DECITEX OR MORE, NOT OVER 1 MM CROSS-SECTION AND OF STRIP NOT OVER 5 MM"
"7610","ALUMINUM STRUCTURES (EXCLUDING PREFAB BUILDINGS OF HEADING 9406) AND PARTS THEREOF (BRIDGES, TOWERS ETC.), INCLUDING SHAPES PREPARED FOR STRUCTURE USE"
"3405","POLISHES AND CREAMS, FOR FOOTWEAR, FURNITURE, FLOORS, COACHWORK, GLASS OR METAL; SCOURING PASTES, POWDERS AND PREPARATIONS NESOI"
"5113","WOVEN FABRICS OF COARSE ANIMAL HAIR OR HORSEHAIR"
"7321","STOVES, RANGES, GRATES, COOKERS, BARBECUES, BRAZIERS AND SIMILAR NONELECTRIC DOMESTIC APPLIANCES, AND PARTS THEREOF, OF IRON OR STEEL"
"2619","SLAG, DROSS (OTHER THAN GRANULATED SLAG), SCALINGS AND OTHER WASTE FROM THE MANUFACTURE OF IRON OR STEEL"
"5807","LABELS, BADGES AND SIMILAR ARTICLES OF TEXTILE MATERIALS, IN THE PIECE, IN STRIPS OR CUT TO SHAPE OR SIZE, NOT EMBROIDERED"
"2806","HYDROGEN CHLORIDE (HYDROCHLORIC ACID); CHLOROSULFURIC ACID"
"6504","HATS AND OTHER HEADGEAR, PLAITED OR MADE BY ASSEMBLING STRIPS OF ANY MATERIAL, WHETHER OR NOT LINED OR TRIMMED"
"8479","MACHINES AND MECHANICAL APPLIANCES HAVING INDIVIDUAL FUNCTIONS, NESOI; PARTS THEREOF"
"2514","SLATE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING ETC. INTO BLOCKS OR SLABS OF RECTANGULAR OR SQUARE SHAPE"
