Code,Product
2842.90.10,"Fulminates, cyanates and thiocyanates"
2842.90.90,"Salts of inorganic acids or peroxoacids nesoi, excluding azides"
2843.10.00,Colloidal precious metals
2843.21.00,Silver nitrate
2843.29.01,"Silver compounds, other than silver nitrate"
2843.30.00,Gold compounds
2843.90.00,"Inorganic or organic compounds of precious metals, excluding those of silver and gold;"
2844.10.10,Natural uranium metal
2844.10.20,Natural uranium compounds
2844.10.50,"Alloys, dispersions (including cermets), ceramic products and mixtures containing"
2845.10.00,Heavy water (Deuterium oxide)
2846.10.00,Cerium compounds
2846.90.20,Mixtures of rare-earth oxides or of rare-earth chlorides
2846.90.40,Yttrium materials and compounds containing by wt. >19% But < 85% yttrium oxide
2846.90.80,"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium, or of"
2847.00.00,"Hydrogen peroxide, whether or not solidified with urea"
2849.10.00,Calcium carbide
2849.20.10,"Silicon carbide, crude"
2849.20.20,"Silicon carbide, in grains, or ground, pulverized or refined"
2849.90.10,Boron carbide
2849.90.20,Chromium carbide
2849.90.30,Tungsten carbide
2849.90.50,"Carbides, nesoi"
2850.00.05,"Hydride, nitride, azide, silicide and boride of calcium"
2850.00.07,"Hydride, nitride, azide, silicide and boride of titanium"
2850.00.10,"Hydride, nitride, azide, silicide and boride of tungsten"
2850.00.20,"Hydride, nitride, azide, silicide and boride of vanadium"
2850.00.50,"Hydrides, nitrides, azides, silicides and borides other than of calcium, titanium, tungsten"
2852.10.10,"Mercuric oxide, mercuric cyanide, mercuric oxycyanide and mercuric potassium cyanide"
2852.10.90,Other chemically defined compounds of mercury excluding amalgams
2852.90.05,"Albuminates, tannates, and phosphides of mercury"
2852.90.90,"Inorganic or organic compounds of mercury, not chemically defined, not albuminates,"
2853.10.00,Cyanogen chloride (Chlorocyan)
2853.90.10,"Phosphor copper containing more than 15% by weight of phosphorus, excluding"
2853.90.50,"Phosphides, whether or not chemically defined, excluding ferrophosphorus, of other"
2853.90.90,"Other phosphides, excl ferrophosphorous, nesoi"
2901.10.10,Ethane and butane
2901.10.30,n-Pentane and isopentane
2901.10.40,"Saturated acyclic hydrocarbon (not ethane,butane,n-pentane or isopentane),derived in"
2901.10.50,"Saturated acyclic hydrocarbon (not ethane,butane,n-pentane or isopentane),not"
2901.21.00,Ethylene
2901.22.00,Propene (Propylene)
2901.23.00,Butene (Butylene) and isomers thereof
2901.24.10,"Buta-l,3-diene"
2901.24.20,"Isoprene, having a purity of 95 percent or more by weight"
2901.24.50,Isoprene less than 95 percent pure
2901.29.10,"Unsaturated acyclic hydrocarbons, nesoi, derived in whole or in part from petroleum,"
2901.29.50,"Unsaturated acyclic hydrocarbons, nesoi, not derived in whole or in part from"
2902.11.00,Cyclohexane
2902.19.00,"Cyclanic hydrocarbons (except cyclohexane), cyclenic hydrocarbons and cycloterpenes"
2902.20.00,Benzene
2902.30.00,Toluene
2902.41.00,o-Xylene
2902.42.00,m-Xylene
2902.43.00,p-Xylene
2902.44.00,Mixed xylene isomers
2902.50.00,Styrene
2902.60.00,Ethylbenzene
2902.70.00,Cumene
2902.90.10,Pseudocumene
2902.90.20,"Acenaphthene, chrysene, cymene, dimethylnaphthalenes, fluoranthene, fluorene,"
2902.90.30,Alkylbenzenes and polyalkylbenzenes
2902.90.40,"Anthracene and 1,4-di-(2-methylstyryl)benzene"
2902.90.60,"Biphenyl (diphenyl), in flakes"
2902.90.90,"Cyclic hydrocarbons, nesoi"
2903.11.00,Chloromethane (Methyl chloride) & chloroethane (Ethyl chloride)
2903.12.00,Dichloromethane (Methylene chloride)
2903.13.00,Chloroform (Trichloromethane)
2903.14.00,Carbon tetrachloride
2903.15.00,"1,2-Dichloroethane (Ethylene dichloride)"
2903.19.05,"1,2-Dichloropropane (Propylene dichloride) and dichlorobutanes"
2903.19.10,Hexachloroethane and tetrachloroethane
2903.19.30,sec-Butyl chloride
2903.19.60,"Saturated chlorinated derivatives of acyclic hydrocarbons, nesoi"
2903.21.00,Vinyl chloride (Chloroethylene)
2903.22.00,Trichloroethylene
2903.23.00,Tetrachloroethylene (Perchloroethylene)
2903.29.00,"Unsaturated chlorinated derivatives of acyclic hydrocarbons, nesoi"
2903.31.00,Ethylene dibromide
2903.39.15,Acetylene tetrabromide; alkyl bromides; methylene dibromide; and vinyl bromide
2903.39.20,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons, nesoi"
2903.71.00,Chlorodifluoromethane
2903.72.00,Dichlorotrifluoroethanes
2903.73.00,Dichlorofluoroethanes
2903.74.00,Chlorodifluoroethanes
2903.75.00,Dichloropentafluoropropanes
2903.76.00,"Bromochlorodifluoromethane, bromotrifluoromethane and dibromotetrafluoroethanes"
2903.77.00,"Other acyclic hydrocarbon derivatives,perhalogenated only with flourine and chlorine"
2903.78.00,"Other perhalogenated acyclic hydrocarbon derivatives, nesoi"
2903.79.10,Bromochloromethane
2903.79.90,Other halogenated derivatives of acyclic hydrocarbons containing two or more different
2903.81.00,"1,2,3,4,5,6-Hexachlorocyclohexane (HCH (ISO)), including Lindane(ISO, INN)"
2903.82.00,"Aldrin (ISO), chlordane (ISO) and heptachlor (ISO)"
2903.83.00,Halogenated derivatives of cyclanic cyclenic or cycloterpenic hydrocarbons: Mirex (ISO)
2903.89.05,Dibromoethyldibromocyclohexane
2903.89.11,Halogenated pesticides derived in whole or in part from benzene or other aromatic
2903.89.15,Halogenated products derived in whole or in part from benzene or other aromatic
2903.89.20,Halogenated derivatives derived in whole or in part from benzene or other aromatic
2903.89.31,"Chlorinated, but not otherwise halogenated derivatives of cyclanic, cyclenic or"
2903.89.40,"1,3,5,7,9,11-Hexabromocyclododecane"
2903.89.60,Tetrabromocyclooctane
2903.89.70,Other halogenated derivatives of cyclanic etc hydrocarbons not deriv from benzene or
2903.91.10,Chlorobenzene
2903.91.20,o-Dichlorobenzene
2903.91.30,p-Dichlorobenzene
2903.92.00,"Hexachlorobenzene (ISO) and DDT (clofenatone (INN), (1,1,1-Trichloro-2,2-bis(p-"
2903.93.00,"Halogenated derivatives of aromatic hydrocarbons, pentachlorobenzene"
2903.94.00,"Halogenated derivatives of aromatic hydrocarbons, hexabromobiphenyls"
2903.99.05,"3-Bromo-alpha,alpha,alpha-trifluorotoluene; and other specified halogenated"
2903.99.08,"p-Chlorobenzotrifluoride; and 3,4-Dichlorobenzotrifluoride"
2903.99.10,"m-Dichlorobenzene; 1,1-dichloro-2,2-bis(p-ethylphenyl)ethane; and trichlorobenzenes"
2903.99.15,Triphenylmethyl chloride
2903.99.20,"Benzyl chloride (alpha-Chlorotoluene); benzotrichloride (alpha,alpha,alpha-"
2903.99.23,Pentabromoethylbenzene
2903.99.27,Tribromocumene
2903.99.30,Pesticides derived from halogenated derivatives of aromatic hydrocarbons
2903.99.80,"Other halogenated derivatives of aromatic hydrocarbons, nesoi"
2904.10.04,2-Anthracenesulfonic acid
2904.10.08,Benzenesulfonyl chloride
2904.10.10,"m-Benzenedisulfonic acid, sodium salt; 1,5-naphthalenedisulfonic acid; and p-"
2904.10.15,"Mixtures of 1,3,6-naphthalenetrisulfonic acid and 1,3,7-naphthalenetrisulfonic acid"
2904.10.32,"Aromatic derivatives of hydrocarbons containing only sulfo groups, their salts and ethyl"
2904.10.37,"Aromatic derivatives of hydrocarbons containing only sulfo groups, their salts and ethyl"
2904.10.50,"Nonaromatic derivatives of hydrocarbons containing only sulfo groups, their salts and"
2904.20.10,p-Nitrotoluene
2904.20.15,p-Nitro-o-xylene
2904.20.20,Trinitrotoluene
2904.20.30,"5-tert-Butyl-2,4,6-trinitro-m-xylene (Musk xylol) and other artificial musks"
2904.20.35,"Nitrated benzene, nitrated toluene (except p-nitrotoluene) or nitrated naphthalene"
2904.20.40,"Aromatic derivatives of hydrocarbons containing only nitro or only nitroso groups,"
2904.20.45,"Aromatic derivatives of hydrocarbons containing only nitro or only nitroso groups, nesoi"
2904.20.50,"Nonaromatic derivatives of hydrocarbons containing only nitro or only nitroso groups,"
2904.31.00,Perfluorooctane sulfonic acid
2904.32.00,Ammonium perfluorooctane sulfonate
2904.33.00,Lithium perfluorooctane sulfonate
2904.34.00,Potassium perfluorooctane sulfonate
2904.35.00,Other salts of perfluorooctane sulfonic acid
2904.36.00,Perfluorooctane sulfonyl fluoride
2904.91.00,Trichloronitromethane (chloropicrin)
2904.99.04,Monochloromononitrobenzenes; o-nitrochlorobenzene; p-nitrochlorobenzene
2904.99.08,Monochloromononitrobenzenes nesoi
2904.99.15,"4-Chloro-3-nitro-a,a,a-trifluorotoluene; 2-Chloro-5-nitro-a,a,a-trifluorotoluene; and 4-"
2904.99.20,Nitrotoluenesulfonic acids
2904.99.30,"1-Bromo-2-nitrobenzene; 1,2-Dichloro-4-nitrobenzene and o-Fluoronitrobenzene"
2904.99.35,"4,4'-Dinitrostilbene-2,2'-disulfonic acid"
2904.99.40,"Sulfonated, nitrated or nitrosated derivatives of aromatic products described in"
2904.99.47,"Other sulfonated, nitrated or nitrosated derivatives of aromatic hydrocarbons excluding"
2904.99.50,"Nonaromatic sulfonated, nitrated or nitrosated derivatives of hydrocarbons, nesoi"
2905.11.10,Methanol (Methyl alcohol) imported only for use in producing synthetic natural gas
2905.11.20,"Methanol (Methyl alcohol), other than imported only for use in producing synthetic"
2905.12.00,Propan-1-ol (Propyl alcohol) and Propan-2-ol (isopropyl alcohol)
2905.13.00,Butan-1-ol (n-Butyl alcohol)
2905.14.10,"tert-Butyl alcohol, having a purity of less than 99 percent by weight"
2905.14.50,Butanols other than butan-1-ol and tert-butyl alcohol having a purity of less than 99
2905.16.00,Octanol (Octyl acohol) and isomers thereof
2905.17.00,Dodecan-1-ol (Lauryl alcohol); hexadecan-1-ol (Cetyl alcohol); octadecan-1-ol (Stearyl
2905.19.10,Pentanol (Amyl alcohol) and isomers thereof
2905.19.90,"Saturated monohydric alcohols, nesoi"
2905.22.10,Geraniol
2905.22.20,Isophytol
2905.22.50,"Acyclic terpene alcohols, other than geraniol and isophytol"
2905.29.10,Allyl alcohol
2905.29.90,"Unsaturated monohydric alcohols, other than allyl alcohol or acyclic terpene alcohols"
2905.31.00,Ethylene glycol (Ethanediol)
2905.32.00,"Propylene glycol (Propane-1,2-diol)"
2905.39.10,Butylene glycol
2905.39.20,Neopentyl glycol
2905.39.60,Hexylene glycol
2905.39.90,"Dihydric alcohols (diols), nesoi"
2905.41.00,"2-Ethyl-2-(hydroxymethyl)propane-1,3-diol (Trimethylolpropane)"
2905.42.00,Pentaerythritol
2905.49.10,Triols and tetrols
2905.49.20,Esters of glycerol formed with the acids of heading 2904
2905.49.30,Xylitol
2905.49.40,"Polyhydric alcohols derived from sugars, nesoi"
2905.49.50,"Polyhydric alcohols, nesoi"
2905.59.10,"Halogenated, sulfonated, nitrated or nitrosated derivatives of monohydric alcohols"
2905.59.30,Dibromoneopentylglycol
2905.59.90,"Halogenated, sulfonated, nitrated or nitrosated derivatives of acyclic alcohols, nesoi"
2906.11.00,Menthol
2906.12.00,"Cyclohexanol, methylcyclohexanols and dimethylcyclohexanols"
2906.13.10,Inositols
2906.13.50,Sterols
2906.19.10,"4,4'-Isopropylidenedicyclohexanol;and mixt. w/not less 90% stereoisomers of 2-"
2906.19.30,Terpineols
2906.19.50,"Other cyclanic, cyclenic or cycloterpenic alcohols and their halogenated, sulfonated,"
2906.21.00,Benzyl alcohol
2906.29.10,Phenethyl alcohol
2906.29.20,"Odoriferous or flavoring compounds of aromatic alcohols and their halogenated,"
2906.29.30,"1,1-Bis(4-chlorophenyl)-2,2,2-trichloroethanol (Dicofol); and p-nitrobenzyl alcohol"
2906.29.60,"Other aromatic alcohols and their halogenated, sulfonated, nitrated or nitrosated"
2907.11.00,Phenol (Hydroxybenzene) and its salts
2907.12.00,Cresols and their salts
2907.13.00,"Octylphenol, nonylphenol and their isomers; salts thereof"
2907.15.10,alpha-Naphthol
2907.15.30,2-Naphthol
2907.15.60,"Naphthols and their salts, other than alpha-Naphthol and 2-Naphthol"
2907.19.10,Alkylcresols
2907.19.20,Alkylphenols
2907.19.40,Thymol
2907.19.61,"2-t-Butyl ethyl phenol; and 6-t-butyl-2,4-xylenol and ylenols and their salts"
2907.19.80,Other monophenols
2907.21.00,Resorcinol and its salts
2907.22.10,"Hydroquinone (Quinol) and its salts, photographic grade"
2907.22.50,"Hydroquinone (Quinol) and its salts, other than photographic grade"
2907.23.00,"4,4'-Isopropylidenediphenol (Bisphenol A, Diphenylolpropane) and its salts"
2907.29.05,Phenol-alcohols
2907.29.10,Pyrogallic acid
2907.29.15,"4,4'-Biphenol"
2907.29.25,tert-Butylhydroquinone
2907.29.90,"Other polyphenols, nesoi"
2908.11.00,Pentachlorophenol (ISO)
2908.19.05,"2,2-Bis(4-hydroxyphenyl)-1,1,1,3,3,3-hexafluoropropane"
2908.19.10,6-Chloro-m-cresol [OH=1]; m-chlorophenol; and chlorothymol
2908.19.15,"3-Hydroxy-alpha,alpha,alpha-trifluorotoluene"
2908.19.20,"Pentachlorophenol and its salts; and 2,4,5-trichlorophenol and its salts"
2908.19.25,Tetrabromobisphenol A
2908.19.35,Derivatives of phenols or phenol-alcohols containing only halogen substituents and their
2908.19.60,"Other halogenated, sulfonated, nitrated or nitrosated derivatives of phenol or phenol-"
2908.91.00,Dinoseb (ISO) and its salts
2908.92.00,"4,6-Dinitro-o-cresol (DNOC (ISO)) and its salts"
2908.99.03,"Specified derivatives of phenols or phenol-alcohols containing only sulfo groups, their"
2908.99.06,4-Hydroxy-1-naphthalenesulfonic acid
2908.99.09,"1,8-Dihydroxynaphthalene-3,6-disulfonic acid and its sodium salt"
2908.99.12,"Derivatives nesoi,of phenols or phenol-alcohols cont. only sulfo groups, their salts and"
2908.99.15,"Derivatives of phenol or phenol-alcohols containing only sulfo groups, their salts and"
2908.99.20,p-Nitrophenol
2908.99.25,"Nitrophenols, except p-nitrophenol"
2908.99.33,"Dinitro-o-cresols (other than 4,6-dinitro-o-cresol) and 4-nitro-m-cresol"
2908.99.40,Dinitrobutylphenol and its salts
2908.99.80,"Halogenated, sulfonated, nitrated or nitrosated derivatives of phenols or phenol-"
2908.99.90,"Halogenated, sulfonated, nitrated or nitrosated derivatives of phenols or phenol-"
2909.11.00,Diethyl ether
2909.19.14,Methyl tertiay-butyl ether. (MTBE)
2909.19.18,"Ethers of acyc monohydric alcohols & deriv, nesoi"
2909.19.30,Triethylene glycol dichloride
2909.19.60,"Ethers of polyhydric alcohols and their halogenated, sulfonated, nitrated or nitrosated"
2909.20.00,"Cyclanic, cyclenic or cycloterpenic ethers and their halogenated, sulfonated, nitrated or"
2909.30.05,5-Chloro-2-nitroanisole; 6-chloro-3-nitro-p-dimethoxybenzene; and dimethyl diphenyl
2909.30.07,Decabromodiphenyl oxide; and octabromodiphenyl oxide
2909.30.09,Bis-(tribromophenoxy)ethane; pentabromodiphenyl oxide; and
2909.30.10,"6-tert-Butyl-3-methyl-2,4-dinitroanisole (Musk ambrette) and other artificial musks"
2909.30.20,"Odoriferous or flavoring compounds of aromatic ethers and their halogenated,"
2909.30.30,"Pesticides, of aromatic ethers and their halogenated, sulfonated, nitrated or nitrosated"
2909.30.40,"Aromatic ethers and their halogenated, sulfonated, nitrated or nitrosated derivatives,"
2909.30.60,"Other aromatic ethers and their halogenated, sulfonated, nitrated, or nitrosated"
2909.41.00,"2,2'-Oxydiethanol (Diethylene glycol, Digol)"
2909.43.00,Monobutyl ethers of ethylene glycol or of diethylene glycol
2909.44.01,Monoalkyl ethers of ethylene glycol or of diethylene glycol
2909.49.05,Guaifenesoin
2909.49.10,"Other aromatic ether-alcohols, their halogenated, sulfonated, nitrated or nitrosated"
2909.49.15,"Aromatic ether-alcohols and their halogenated, sulfonated, nitrated or nitrosated"
2909.49.20,Nonaromatic glycerol ethers
2909.49.30,Di-pentaerythritol having a purity of 94% or more by weight
2909.49.60,"Other non-aromatic ether-alcohols and their halogenated, sulfonated, nitrated or"
2909.50.10,4-Ethylguaiacol
2909.50.20,Guaiacol and its derivatives
2909.50.40,"Odoriferous or flavoring compounds of ether-phenols, ether-alcohol-phenols & their"
2909.50.45,"Ether-phenols, ether-alcohol-phenols & their halogenated, sulfonated, nitrated,"
2909.50.50,"Ether-phenols, ether-alcohol-phenols and their halogenated, sulfonated, nitrated or"
2909.60.10,"Aromatic alcohol, ether and ketone peroxides and their halogenated, sulfonated,"
2909.60.20,"Aromatic alcohol peroxides, ether peroxides, ketone peroxides and their halogenated,"
2909.60.50,"Nonaromatic alcohol, ether and ketone peroxides and their halogenated, sulfonated,"
2910.10.00,Oxirane (Ethylene oxide)
2910.20.00,Methyloxirane (Propylene oxide)
2910.30.00,"1-Chloro-2,3-epoxypropane (Epichlorohydrin)"
2910.40.00,Dieldrin
2910.50.00,Endrin
2910.90.10,Butylene oxide
2910.90.20,"Aromatic epoxides, epoxyalcohols, epoxyphenols and epoxyethers, with a three-"
2910.90.91,"Other nonaromatic epoxides, epoxyalcohols and epoxyethers, with a three-membered"
2911.00.10,"1,1-Bis-(1-methylethoxy)cyclohexane"
2911.00.50,"Acetals and hemiacetals, whether or not with other oxygen function, and their"
2912.11.00,Methanal (Formaldehyde)
2912.12.00,Ethanal (Acetaldehyde)
2912.19.10,Citral
2912.19.20,Odoriferous or flavoring compounds of acyclic aldehydes without other oxygen
2912.19.25,"Butanal (Butyraldehyde, normal isomer)"
2912.19.30,Glyoxal
2912.19.40,Isobutanal
2912.19.50,"Acyclic aldehydes without other oxygen function, nesoi"
2912.21.00,Benzaldehyde
2912.29.10,Phenylacetaldehyde
2912.29.30,"3,4-Dimethylbenzaldehyde; paraldehyde, USP grade; and p-tolualdehyde"
2912.29.60,Other cyclic aldehydes without other oxygen function
2912.41.00,Vanillin (4-Hydroxy-3-methoxybenzaldehyde)
2912.42.00,Ethylvanillin (3-Ethoxy-4-hydroxy-benzaldehyde)
2912.49.10,p-Anisaldehyde
2912.49.15,P-Hydroxybenzaldehyde
2912.49.26,"Other aromatic aldehyde-alcohols, aldehyde-ethers, aldehyde-phenols and aldehydes"
2912.49.55,Hydroxycitronellal
2912.49.60,"Nonaromatic aldehyde-alcohols, other than hydroxycitronellal"
2912.49.90,"Nonaromatic aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen"
2912.50.10,Metaldehyde from cyclic polymers of aldehydes
2912.50.50,"Cyclic polymers of aldehydes, other than Metaldehyde."
2912.60.00,Paraformaldehyde
2913.00.20,4-Fluoro-3-phenoxybenzaldehyde
2913.00.40,"Aromatic halogenated, sulfonated, nitrated or nitrosated derivatives of product of"
2913.00.50,"Nonaromatic halogenated, sulfonated, nitrated or nitrosated derivatives of products of"
2914.11.10,"Acetone, derived in whole or in part from cumene"
2914.11.50,"Acetone, not derived in whole or in part from cumene"
2914.12.00,Butanone (Methyl ethyl ketone)
2914.13.00,4-Methylpentan-2-one (Methyl isobutyl ketone)
2914.19.00,"Acyclic ketones without other oxygen function, nesoi"
2914.22.10,Cyclohexanone
2914.22.20,Methylcyclohexanone
2914.23.00,Ionones and methylionones
2914.29.10,Isophorone
2914.29.30,Natural camphor
2914.29.31,Synthetic camphor
2914.29.50,"Cyclanic, cyclenic or cycloterpenic ketones without other oxygen function, nesoi"
2914.31.00,Phenylacetone (Phenylpropan-2-one)
2914.39.10,"7-Acetyl-1,1,3,4,4,6-hexamethyltetrahydronaphthalene; 1-(2-Naphthalenyl)ethanone;"
2914.39.90,"Aromatic ketones without other oxygen function, nesoi"
2914.40.10,4-Hydroxy-4-methylpentan-2-one (Diacetone alcohol)
2914.40.20,"1,2,3-Indantrione monohydrate (Ninhydrin)"
2914.40.40,"Aromatic ketone-alcohols and ketone-aldehydes, nesoi"
2914.40.60,"1,3-Dihydroxyacetone"
2914.40.90,"Nonaromatic ketone-alcohols and ketone-aldehydes, nesoi"
2914.50.10,5-Benzoyl-4-hydroxy-2-methoxy-benzenesulfonic acid
2914.50.30,Aromatic ketone-phenols and ketones with other oxygen function
2914.50.50,Nonaromatic ketone-phenols and ketones with other oxygen function
2914.61.00,Anthraquinone
2914.69.10,Photographic chemicals of quinones
2914.69.60,"1,4-Dihydroxyanthraquinone; and 2-ethylanthraquinone"
2914.69.90,"Quinones, nesoi"
2914.71.00,"Halogenated, sulfonated, nitrated or nitrosated derivatives: chlordecone (ISO)"
2914.79.10,"2,3-dichloro-1,4-naphthoquinone and other artificial musks"
2914.79.30,"Anthraquinone disulfonic acid, sodium salt; and 4-(3,4-Dichlorophenyl)-1-tetralone"
2914.79.40,"Other halogenated, sulfonated, nitrated, etc derivatives of aromatic ketones and"
2914.79.60,1-Chloro-5-hexanone
2914.79.90,"Other halogenated, sulfonated, nitrated or nitrosated derivatives of nonaromatic"
2915.11.00,Formic acid
2915.12.00,Salts of formic acid
2915.13.10,Aromatic esters of formic acid
2915.13.50,Nonaromatic esters of formic acid
2915.21.00,Acetic acid
2915.24.00,Acetic anhydride
2915.29.10,Cupric acetate monohydrate
2915.29.20,Sodium acetate
2915.29.30,Cobalt acetates
2915.29.50,Other salts of acetic acid
2915.31.00,Ethyl acetate
2915.32.00,Vinyl acetate
2915.33.00,n-Butyl acetate
2915.36.00,Dinoseb (ISO) acetate
2915.39.10,Benzyl acetate
2915.39.20,"Odoriferous or flavoring compounds of aromatic esters of acetic acid, other than benzyl"
2915.39.31,Aromatic esters of acetic acid described in additional U.S. note 3 to section VI
2915.39.35,"Aromatic esters of acetic acid, nesoi"
2915.39.40,Linalyl acetate
2915.39.45,"Odoriferous or flavoring compounds of nonaromatic esters of acetic acid, nesoi"
2915.39.47,Acetates of polyhydric alcohols or of polyhydric alcohol ethers
2915.39.60,Bis(bromoacetoxy)butene
2915.39.70,Isobutyl acetate
2915.39.80,"2-Ethoxyethyl acetate (Ethylene glycol, monoethyl ether acetate)"
2915.39.90,Other non-aromatic esters of acetic acid
2915.40.10,Chloroacetic acids
2915.40.20,"Aromatic salts and esters of chlorocetic acids, described in additional U.S. note 3 to"
2915.40.30,"Aromatic salts and esters of chlorocetic acids, nesoi"
2915.40.50,"Nonaromatic salts and esters of chlorocetic acids, nesoi"
2915.50.10,Propionic acid
2915.50.20,Aromatic salts and esters of propionic acid
2915.50.50,Nonaromatic salts and esters of propionic acid
2915.60.10,Aromatic salts and esters of butyric acids and valeric acids
2915.60.50,"Butyric acids, valeric acids, their nonaromatic salts and esters"
2915.70.01,"Palmitic acid, stearic acid, their salts and esters"
2915.90.10,"Fatty acids of animal or vegetable origin, nesoi"
2915.90.14,Valproic acid
2915.90.18,"Saturated acyclic monocarboxylic acids, nesoi"
2915.90.20,"Aromatic anhydrides, halides, peroxides and peroxyacids, of saturated acyclic"
2915.90.50,"Nonaromatic anhydrides, halides, peroxides and peroxyacids, of saturated acyclic"
2916.11.00,Acrylic acid and its salts
2916.12.10,Aromatic esters of acrylic acid
2916.12.50,Nonaromatic esters of acrylic acid
2916.13.00,Methacrylic acid and its salts
2916.14.10,Dicyclopentenyloxyethyl methacrylate
2916.14.20,Other esters of methacrylic acid
2916.15.10,"Oleic, linoleic or linolenic acids"
2916.15.51,"Salts and esters of oleic, linoleic or linolenic acids"
2916.16.00,Binapacryl (ISO)
2916.19.10,Potassium sorbate
2916.19.20,Sorbic acid
2916.19.30,"Unsaturated acyclic monocarboxylic acids, nesoi"
2916.19.50,"Unsaturated acyclic monocarboxylic acid anhydrides, halides, peroxides, peroxyacids"
2916.20.10,Tefluthrin
2916.20.50,"Cyclanic, cyclenic or cycloterpenic monocarboxylic acids, their anhydrides, halides,"
2916.31.11,Benzoic acid and its salts
2916.31.20,Odoriferous or flavoring compounds of benzoic acid esters
2916.31.30,"Benzoic acid esters, except odoriferous or flavoring compounds, described in additional"
2916.31.50,"Benzoic acid esters, nesoi"
2916.32.10,Benzoyl peroxide
2916.32.20,Benzoyl chloride
2916.34.10,Phenylacetic acid (alpha-Toluic acid)
2916.34.15,Odoriferous or flavoring compounds of phenylacetic acid and its salts
2916.34.25,"Phenylacetic acid salts, nesoi, described in additional US note 3 to section VI"
2916.34.55,"Phenylacetic acid salts, nesoi"
2916.39.03,Benzoic anhydride; tert-butyl peroxybenzoate; p-nitrobenzoyl chloride; 2-nitro-m-toluic
2916.39.04,Specified derivatives of benzoic and toluic acids
2916.39.06,Cinnamic acid
2916.39.08,4-Chloro-3-nitrobenzoic acid
2916.39.12,"4-Chloro-3,5-dinitrobenzoic acid and its esters"
2916.39.15,Ibuprofen
2916.39.16,4-Chlorobenzoic acid
2916.39.17,"2,2-Dichlorophenylacetic acid ethyl ester and m-toluic acid"
2916.39.21,"Odoriferous or flavoring compounds of aromatic monocarboxylic acids, their"
2916.39.46,"Aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and"
2916.39.77,"Phenylacetic acid esters, nesoi"
2916.39.79,"Other aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids"
2917.11.00,"Oxalic acid, its salts and esters"
2917.12.10,Adipic acid
2917.12.20,Plasticizers of adipic acid salts and esters
2917.12.50,"Adipic acid salts and esters, nesoi"
2917.13.00,"Azelaic acid, sebacic acid, their salts and esters"
2917.14.10,Maleic anhydride derived in whole or in part from benzene or other aromatic
2917.14.50,"Maleic anhydride, except derived in whole or in part from benzene or other aromatic"
2917.19.10,Ferrous fumarate
2917.19.15,"Fumaric acid, derived in whole or in part from aromatic hydrocarbons"
2917.19.17,Fumaric acid except derived in whole or in part from aromatic hydrocarbons
2917.19.20,"Specified acyclic polycarboxylic acids and their derivatives, described in additional U.S."
2917.19.23,Maleic acid
2917.19.27,"Succinic acid, glutaric acid, and their derivatives, and derivatives of adipic, fumeric and"
2917.19.30,Ethylene brassylate
2917.19.35,Malonic acid
2917.19.40,"Acyclic polycarboxylic acids, derived from aromatic hydrocarbons, and their derivatives,"
2917.19.70,Acyclic polycarboxylic acids and derivative (excluding plasticizers)
2917.20.00,"Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides,"
2917.32.00,Dioctyl orthophthalates
2917.33.00,Dinonyl or didecyl orthophthalates
2917.34.01,"Esters of orthophthalic acid, nesoi"
2917.35.00,Phthalic anhydride
2917.36.00,Terephthalic acid and its salts
2917.37.00,Dimethyl terephthalate
2917.39.04,"1,2,4-Benzenetricarboxylic acid,1,2-dianhydride(trimellitic anhydride);naphthalic"
2917.39.08,Naphthalic anhydride
2917.39.12,"4,4'-(Hexafluoroisopropyl-indene)bis(phthalic anhydride)"
2917.39.15,Isophthalic acid
2917.39.17,Tetrabromophthalic anhydride
2917.39.20,"Plasticizers of aromatic polycarboxylic acids, their anhydrides, halides, peroxides,"
2917.39.30,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and"
2917.39.70,Other aromatic polycarboxylic acids and their derivatives (excluding those described in
2918.11.10,Lactic acid
2918.11.51,Salts and esters of lactic acid
2918.12.00,Tartaric acid
2918.13.10,Potassium antimony tartrate (Tartar emetic)
2918.13.20,Potassium bitartrate (Cream of tartar)
2918.13.30,Potassium sodium tartrate (Rochelle salts)
2918.13.50,"Salts and esters of tartaric acid, nesoi"
2918.14.00,Citric acid
2918.15.10,Sodium citrate
2918.15.50,"Salts and esters of citric acid, except sodium citrate"
2918.16.10,Gluconic acid
2918.16.50,Salts and esters of gluconic acid
2918.17.00,"2,2-Diphenyl-2-hydroxyacetic acid (benzilic acid)"
2918.18.00,Chlorobenzilate (ISO)
2918.19.11,"Benzilic acid, methyl ester"
2918.19.12,Phenylglycolic acid (Mandelic acid)
2918.19.15,Phenylglycolic (Mandelic) acid salts and esters
2918.19.20,"Aromatic carboxylic acids with alcohol function, w/o other oxygen functions, and their"
2918.19.31,"Aromatic carboxylic acids with alcohol function, without other oxygen functions, and"
2918.19.60,Malic acid
